elapsed_time_sec,latency_ms,label
1.6416611671447754,138.85242599999998,ipc_off
1.6461670398712158,41.124199999999995,ipc_off
1.7238242626190186,20.022184,ipc_off
1.8350038528442383,31.774758,ipc_off
1.9128892421722412,9.891248,ipc_off
2.0482609272003174,33.094484,ipc_off
2.1418752670288086,38.546634,ipc_off
2.2464191913604736,42.774328,ipc_off
2.3398170471191406,36.953981999999996,ipc_off
2.4295732975006104,26.67824,ipc_off
2.5338428020477295,24.847845,ipc_off
2.6468348503112793,43.730318,ipc_off
2.726536750793457,23.364096999999997,ipc_off
2.8331565856933594,29.541733999999998,ipc_off
2.9465129375457764,36.278827,ipc_off
3.012308359146118,9.341695,ipc_off
3.1262478828430176,21.040592999999998,ipc_off
3.260310173034668,43.704209999999996,ipc_off
3.3314568996429443,27.161686,ipc_off
3.4305026531219482,24.756804,ipc_off
3.5433688163757324,35.545148999999995,ipc_off
3.6450772285461426,38.663388,ipc_off
3.728501796722412,25.652896,ipc_off
3.830000877380371,27.071880999999998,ipc_off
3.962723970413208,53.537515,ipc_off
4.0527379512786865,43.577583,ipc_off
4.124940395355225,21.33915,ipc_off
4.227049112319946,23.393421,ipc_off
4.365241289138794,61.926427999999994,ipc_off
4.452773571014404,46.277397,ipc_off
4.5397374629974365,25.897534,ipc_off
4.6442577838897705,34.784105,ipc_off
4.75389289855957,46.607667,ipc_off
4.848207712173462,44.514492999999995,ipc_off
4.949017524719238,42.138143,ipc_off
5.0491273403167725,46.394912999999995,ipc_off
5.122097492218018,16.854146999999998,ipc_off
5.210578680038452,7.759507999999999,ipc_off
5.364850044250488,62.001065,ipc_off
5.447809219360352,42.452807,ipc_off
5.526298999786377,22.154674999999997,ipc_off
5.642173767089844,36.215478,ipc_off
5.7300684452056885,27.092985,ipc_off
5.834801435470581,28.147012999999998,ipc_off
5.947216033935547,37.343146999999995,ipc_off
6.030912637710571,26.540833,ipc_off
6.13532018661499,32.083161,ipc_off
6.259610652923584,55.984434,ipc_off
6.358257293701172,46.614177999999995,ipc_off
6.449329376220703,35.123999,ipc_off
6.533592462539673,25.867651,ipc_off
6.651834487915039,42.468458,ipc_off
6.767230033874512,62.901250999999995,ipc_off
6.8439013957977295,24.764868999999997,ipc_off
6.9308226108551025,22.772427,ipc_off
7.011329174041748,7.827694999999999,ipc_off
7.114109516143799,11.286826,ipc_off
7.212289094924927,9.247313,ipc_off
7.378834009170532,74.670723,ipc_off
7.4326066970825195,28.265023,ipc_off
7.52545166015625,22.610962,ipc_off
7.650143384933472,43.643454,ipc_off
7.713129758834839,9.574714,ipc_off
7.8289642333984375,26.205959,ipc_off
7.96318507194519,31.886357,ipc_off
8.03483247756958,31.343135,ipc_off
8.124489545822144,20.660095,ipc_off
8.261699438095093,58.408046,ipc_off
8.34781813621521,34.551316,ipc_off
8.429409503936768,26.284568,ipc_off
8.517110109329224,9.821871999999999,ipc_off
8.679461240768433,49.883534999999995,ipc_off
8.729759216308594,26.450308999999997,ipc_off
8.839325904846191,36.2958,ipc_off
8.96470832824707,60.563759999999995,ipc_off
9.069791316986084,66.431058,ipc_off
9.160325765609741,51.825221,ipc_off
9.217820405960083,14.635805999999999,ipc_off
9.325443744659424,15.042292999999999,ipc_off
9.43241000175476,25.443582,ipc_off
9.537139654159546,34.421901999999996,ipc_off
9.614392518997192,8.092459,ipc_off
9.759462594985962,56.342523,ipc_off
9.862661361694336,41.847891,ipc_off
9.925621271133423,22.259165,ipc_off
10.053881406784058,45.665453,ipc_off
10.14005970954895,33.950866,ipc_off
10.252052783966064,49.004037,ipc_off
10.340436458587646,34.286507,ipc_off
10.462843418121338,58.293763,ipc_off
10.524063348770142,20.608466,ipc_off
10.636315822601318,33.396377,ipc_off
10.758683204650879,45.749171,ipc_off
10.831834316253662,29.015107999999998,ipc_off
11.02176833152771,116.25144399999999,ipc_off
11.044617652893066,41.772951,ipc_off
11.148903608322144,43.989363999999995,ipc_off
11.232233762741089,26.255322,ipc_off
11.340290546417236,29.163664999999998,ipc_off
11.433746576309204,30.790416999999998,ipc_off
11.537708759307861,33.979254,ipc_off
11.624153852462769,21.288484999999998,ipc_off
11.741842031478882,38.281825,ipc_off
11.856107234954834,44.730754,ipc_off
11.93378472328186,24.810919,ipc_off
12.032612800598145,29.460019,ipc_off
12.124482870101929,21.197467,ipc_off
12.243674516677856,40.637167,ipc_off
12.343143224716187,40.297174999999996,ipc_off
12.430567026138306,27.784302,ipc_off
12.539234399795532,35.541249,ipc_off
12.636211156845093,23.378586,ipc_off
12.75007700920105,40.398722,ipc_off
12.842542171478271,39.428804,ipc_off
12.927857398986816,23.703401,ipc_off
13.040557146072388,32.246887,ipc_off
13.152225017547607,48.860299,ipc_off
13.23115873336792,27.987856999999998,ipc_off
13.323493480682373,19.640165,ipc_off
13.468164920806885,58.596131,ipc_off
13.54109811782837,31.546418,ipc_off
13.627060413360596,21.608776,ipc_off
13.76630711555481,51.957581,ipc_off
13.840246200561523,30.206205999999998,ipc_off
13.921041011810303,10.003317,ipc_off
14.037667274475098,32.081300999999996,ipc_off
14.171942710876465,68.43936099999999,ipc_off
14.251477241516113,46.275842999999995,ipc_off
14.336175441741943,31.086972,ipc_off
14.432400703430176,28.62058,ipc_off
14.528991460800171,23.049276,ipc_off
14.627525091171265,22.554316999999998,ipc_off
14.768660068511963,59.344623,ipc_off
14.851884603500366,42.701065,ipc_off
14.941449880599976,32.119853,ipc_off
15.016598463058472,12.063359,ipc_off
